sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
IRSNB M 1438	Europe	Belgium						Flemish Brabant Province, Hofstade°'																					BE																																					
IRSNB M 1453a-b	Europe	Germany						Messel°'																					DE																	Messel Formation																				
IRSNB M 1454	Europe	Belgium						Province d'Anvers, Beerse-Merxplats°'																					BE																																					
IRSNB M 1461	Europe	Belgium						Brabant wallon, Orp-le-Grand, Briqueterie°'																					BE																	Sable d'Orp																				
IRSNB M 1462	Europe	Belgium						Province de Luxembourg, Habay-la-Vieille°'																					BE																	"Bonebed HLV-2, Sables de Mortinsart-Formation"""""																				
IRSNB M 1476bis	Europe	Grand Duché du Luxembourg						Medenach°'																																						gisement du Rinckebierg																				
IRSNB M 1566	Europe	Belgium						Evere, Brussels°'																					BE																	Argile d'Aalbeke																				
IRSNB M 1581	Europe	Belgium						Province de Luxembourg, Attert°'																					BE																	A 6. 70 metres se distinguent I 0 em de sable fin vert-gris à galets: c'est le troisieme bone-bed. HLV 3																				
IRSNB M 1795	Europe	Belgium						Province du Brabant flamand, Hoegaarden°'																					BE																	Brussels Formation																				
IRSNB M 1796	Europe	Belgium						Hoegaarden, Vlaamse Brabant°'																					BE																	Brussels Formation																				
IRSNB M 1798	Europe	Belgium						"province de Luxembourg, Habay-la-Vieille. (Coordonnées : Longitude 5° 37' E. Latitude 49° 44' N)°49'44"""	E																				BE		49°44'N	5°37'E														A 6. 70 metres se distinguent I 0 em de sable fin vert-gris à galets: c'est le troisieme bone-bed. HLV 3																				
IRSNB M 1823	Europe	France						Varangéville°'																					FR																																					
IRSNB M 1831	Europe	France						Saint-Nicolas-de-Port°'																					FR																																					
IRSNB M 1837	Asia	China						Bayan Mandahu, Inner Mongolia, China°'																					CN																	Bayan Mandahu Formation = Djadokhta Formation ?																				
IRSNB M 1853	Europe	Belgium						Antwerp Province, uncertain locality in the region of Antwerp°'																					BE																	Antwerp Sand Member																				
IRSNB M 1854	Europe	Belgium						Antwerp Province, Kessel°'																					BE																	Antwerp Sand Member																				
IRSNB M 1855	Europe	Belgium						Antwerp Province, Kessel°'																					BE																	terrain Bolderien, Antwerp Sand Member																				
IRSNB M 1858	Europe	Belgium						Antwerp Province, Antwerpen°'																					BE																	Antwerpen Sands																				
