UnitID	AcquisitionYear	AcquisitionMonth	AcquisitionDay	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update																					
Tw70147	2016	11	28	Moses LIBALAH					SN13565	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70148	2016	11	28	Moses LIBALAH					SN18525	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70149	2016	11	28	Moses LIBALAH					SN16596	Triplochiton scleroxylon 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70150	2016	11	28	Moses LIBALAH					SN2520	Leplaea thompsonii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70151	2016	11	28	Moses LIBALAH					SN9302	Angylocalyx pynaertii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70152	2016	11	28	Moses LIBALAH					SN2540	Strombosia pustulata 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70153	2016	11	28	Moses LIBALAH					SN2540	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70154	2016	11	28	Moses LIBALAH					SN2540	Chrysophyllum boukokoënse 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70155	2016	11	28	Moses LIBALAH					SN3046	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70156	2016	11	28	Moses LIBALAH					SN16596	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70157	2016	11	28	Moses LIBALAH					SN11974	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70158	2016	11	28	Moses LIBALAH					SN16596	Keayodendron bridelioides 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70159	2016	11	28	Moses LIBALAH					SN12769	Chrysophyllum boukokoënse 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70160	2016	11	28	Moses LIBALAH					SN9302	Pycnanthus angolensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70161	2016	11	28	Moses LIBALAH					SN6645	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70162	2016	11	28	Moses LIBALAH					SN12769	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70163	2016	11	28	Moses LIBALAH					SN2569	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
