sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
TEST_MERGEIRSNB M 0956	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	5eme niveau																				
TEST_MERGEIRSNB M 0961	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	4eme niveau																				
TEST_MERGEIRSNB M 0988	Europe	Belgium						Province de Namur, Montaigles, Trou du Sureau°'																					BE																	4eme niveau																				
TEST_MERGEIRSNB M 1003	Europe	Belgium						Province de Namur, Walzin, Trou de la Naulette°'																					BE																	3eme niveau																				
TEST_MERGEIRSNB M 1104	Europe	Belgium						Province de Namur, Caverne de Goyet°'																					BE																																					
TEST_MERGEIRSNB M 1107	Europe	Belgium						Province d'Anvers, Kontich (Contich) ou Burght (near Hoboken)°'																					BE																	Argile de Boom																				
TEST_MERGEIRSNB M 1108	Europe	Belgium						Province d'Anvers, Antwerpeen°'																					BE																																					
TEST_MERGEIRSNB M 1126	Europe	Belgium						Province du Brabant flamand, Boutersem (Hoogbutsel) (Pl. XXXII, pt.1)°'																					BE																																					
TEST_MERGEIRSNB M 1136	Europe	Belgium						Province du Brabant flamand, Hoeleden (Pl. XXXII, pt.7)°'																					BE																																					
TEST_MERGEIRSNB M 1150	Europe	France						Quercy, Caylux°'																					FR																	Phosphorite de Caylux																				
